web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien
"1771780980-43","https://sn.coinafrique.com/categorie/chiens?page=10","Malinois","300 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2581239_uploaded_image1_1598568079.jpg"
"1771780980-44","https://sn.coinafrique.com/categorie/chiens?page=10","Chien Bichon","300 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2581230_uploaded_image1_1598567751.jpg"
"1771780980-45","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Rottweiller","300 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2580700_uploaded_image1_1598548338.jpg"
"1771780980-46","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Spitz nain Pomeranian","1 900 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2578678_uploaded_image1_1598473259.jpg"
"1771780980-47","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Rottweiller","300 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2575614_uploaded_image1_1598372726.jpg"
"1771780980-48","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Rotweiller","300 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567679_uploaded_image1_1598129482.jpg"
"1771780980-49","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Malinois pur sang","250 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567608_uploaded_image1_1598126860.jpg"
"1771780980-50","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Spitz Pomperanian","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567174_uploaded_image1_1598112867.jpg"
"1771780980-51","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot  Chiuawa","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567166_uploaded_image1_1598112763.jpg"
"1771780980-52","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Kangal","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567155_uploaded_image1_1598112585.jpg"
