web_scraper_order,web_scraper_start_url,nom,prix,adresse,image
"1771781965-76","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Couple Pigeon Cravate","30 000CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2082389_uploaded_image1_1588989025.jpg"
"1771781965-77","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet","4 200CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2021584_uploaded_image1_1588073587.jpg"
"1771781965-78","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulets à vendre et oeufs","2 200CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2002375_uploaded_image1_1587741273.jpg"
"1771781965-79","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulets","3 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2001942_uploaded_image2_1587735661.98.jpeg"
"1771781965-80","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Oie","35 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1997244_uploaded_image1_1587667066.jpg"
"1771781965-81","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Couple Laor","50 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1995210_uploaded_image1_1587646147.jpg"
"1771781965-82","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Couple  Laor","50 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1995183_uploaded_image1_1587645917.jpg"
"1771781965-83","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeons","50 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1995134_uploaded_image1_1587645507.jpg"
"1771781965-84","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Couple Laor","50 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1995115_uploaded_image1_1587645382.jpg"
"1771781965-85","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon","35 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_1992182_uploaded_image1_1587592805.jpg"
"1771781965-86","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poussins  brahman colombia","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1990096_uploaded_image1_1587571540.jpg"
"1771781965-87","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulets de chair","2 500CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_1988804_uploaded_image1_1587553659.jpg"
"1771781965-88","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Couple Brahman","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1975396_uploaded_image1_1587342507.59.jpeg"
"1771781965-89","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poussins nés le 8 avril","650CFA","Saly, Sénégal","https://images.coinafrique.com/thumb_1971696_uploaded_image1_1587287294.47.jpeg"
"1771781965-90","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulets","2 400CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1963033_uploaded_image1_1587140018.16.jpeg"
"1771781965-91","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulets","2 400CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1963021_uploaded_image1_1587139946.35.jpeg"
"1771781965-92","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulets de chairs","2 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1934126_uploaded_image1_1586708547.66.png"
"1771781965-93","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulets","2 750CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1918730_uploaded_image1_1586442251.23.png"
"1771781965-94","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapins","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_1913175_uploaded_image1_1586355015.48.png"
"1771781965-95","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Orpington","30 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1913036_uploaded_image1_1586352896.21.png"
"1771781965-96","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet","3 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1907954_uploaded_image1_1586270049.67.png"
"1771781965-97","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Coq Orpitone","30 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890489_uploaded_image1_1585937996.82.png"
