web_scraper_order,web_scraper_start_url,nom,prix,adresse,image
"1771781972-245","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon","100 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3076669_uploaded_image1_1619200506.jpg"
"1771781972-246","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon","60 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3076664_uploaded_image1_1619200352.jpg"
"1771781972-247","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon","40 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3076657_uploaded_image1_1619200129.jpg"
"1771781972-248","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapin Angora","20 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3072438_uploaded_image2_1619019452.jpeg"
"1771781972-249","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poules","3 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3065835_uploaded_image1_1618714726.jpg"
"1771781972-250","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Lahor","30 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3063589_uploaded_image1_1618596539.jpg"
"1771781972-251","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Château Rouge","50 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3063568_uploaded_image1_1618595933.jpg"
"1771781972-252","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Laor","60 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3058782_uploaded_image1_1618401720.jpg"
"1771781972-253","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapin Angora","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_3055838_uploaded_image1_1618276360.jpg"
"1771781972-254","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapereaux","20 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3052171_uploaded_image1_1618086163.jpg"
"1771781972-255","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon","150 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3049719_uploaded_image1_1617978714.jpg"
"1771781972-256","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapins Angora métissés","15 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_3035970_uploaded_image1_1617382564.jpg"
"1771781972-257","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon","25 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3033406_uploaded_image1_1617293184.jpg"
"1771781972-258","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Cochin blanche","65 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3025104_uploaded_image1_1616923906.jpg"
"1771781972-259","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Coq Cochin blanc","70 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3024487_uploaded_image1_1616866962.jpg"
"1771781972-260","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulets de chair","Prix sur demande","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3020864_uploaded_image1_1616685325.jpg"
"1771781972-261","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulets","Prix sur demande","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3020754_uploaded_image1_1616682583.jpg"
"1771781972-262","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet de chair","3 000CFA","Touba, Sénégal","https://images.coinafrique.com/thumb_3020570_uploaded_image1_1616677661.jpg"
"1771781972-263","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet de chair","3 000CFA","Touba, Sénégal","https://images.coinafrique.com/thumb_3017104_uploaded_image1_1616512963.jpg"
"1771781972-264","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Trio dindes rouge","130 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3012683_uploaded_image1_1616280245.jpg"
"1771781972-265","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon voyageur","5 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_3011311_uploaded_image2_1616223766.jpeg"
"1771781972-266","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet","3 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_3010219_uploaded_image1_1616159454.jpg"
"1771781972-267","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poules bleus hollandais","6 500CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_3009280_uploaded_image1_1616101333.jpg"
"1771781972-268","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Chateau","50 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3005856_uploaded_image1_1615940349.jpg"
"1771781972-269","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Jeune king","50 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3005849_uploaded_image1_1615939888.jpg"
"1771781972-270","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Chateau","50 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3005822_uploaded_image1_1615938255.jpg"
"1771781972-271","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Oison de Toulouse","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_3000848_uploaded_image1_1615686013.jpg"
"1771781972-272","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet pondeuse","3 500CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3000537_uploaded_image1_1615668903.jpg"
"1771781972-273","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poules Brahma","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_3000249_uploaded_image1_1615655282.jpg"
"1771781972-274","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Perruches ondulées","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2996669_uploaded_image1_1615474536.jpg"
"1771781972-275","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Brahmâ","12 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2984079_uploaded_image1_1614854523.jpg"
"1771781972-276","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapereaux Angora","15 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2981287_uploaded_image1_1614727616.jpg"
"1771781972-277","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapin Nain","30 000CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_2979256_uploaded_image1_1614674197.jpg"
"1771781972-278","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet","2 500CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2976666_uploaded_image1_1614589003.jpg"
"1771781972-279","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poussin  - 1  jour","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2974676_uploaded_image1_1614452359.jpg"
"1771781972-280","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapins","15 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2970567_uploaded_image1_1614250380.jpg"
"1771781972-281","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Cokier","45 000CFA","M'bour, Sénégal","https://images.coinafrique.com/thumb_2954851_uploaded_image1_1613494967.jpg"
"1771781972-282","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poussin brahman","3 000CFA","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_2950921_uploaded_image1_1613311102.jpg"
"1771781972-283","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poussins fermiers","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2950193_uploaded_image1_1613251191.jpg"
"1771781972-284","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poussin brahmâ blanc hermine","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2950013_uploaded_image1_1613239360.jpg"
"1771781972-285","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poussin brahmâ hermine","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2949738_uploaded_image1_1613229441.jpg"
"1771781972-286","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeons","40 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_2944254_uploaded_image1_1612982200.jpg"
"1771781972-287","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeons","30 000CFA","Joal Fadiouth, Sénégal","https://images.coinafrique.com/thumb_2942609_uploaded_image1_1612913202.jpg"
"1771781972-288","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapereaux rex tricolore","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_2932849_uploaded_image1_1612486492.jpg"
"1771781972-289","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulets de chair","3 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_2923781_uploaded_image1_1612184473.jpg"
"1771781972-290","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Lahore","40 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2921833_uploaded_image1_1612100438.jpg"
"1771781972-291","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Laor","40 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2921831_uploaded_image1_1612100375.jpg"
"1771781972-292","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2921773_uploaded_image1_1612098138.jpg"
"1771781972-293","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Paire pigeon Boulons","50 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2921717_uploaded_image1_1612095131.jpg"
"1771781972-294","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Paire pigeon Coschoi","70 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2921695_uploaded_image1_1612094191.jpg"
"1771781972-295","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Paire pigeon Romain","80 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2921690_uploaded_image1_1612093907.jpg"
"1771781972-296","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Karavaty chinoise","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2921677_uploaded_image1_1612093526.jpg"
"1771781972-297","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet Brahmâ blanc","30 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2917728_uploaded_image1_1611862925.jpg"
"1771781972-298","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Coq Brahmâ blanc","35 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2917722_uploaded_image1_1611862785.jpg"
"1771781972-299","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet Brahma","35 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2917717_uploaded_image1_1611862617.jpg"
"1771781972-300","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poule cochin","40 000CFA","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_2907921_uploaded_image1_1611416785.jpg"
"1771781972-301","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Cochin caillouté","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2899128_uploaded_image1_1611044213.jpg"
"1771781972-302","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Dindes et poulets de chair","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_2886105_uploaded_image1_1610468092.jpg"
"1771781972-303","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulets","2 500CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2880530_uploaded_image1_1610226236.jpg"
"1771781976-304","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon Boulan blanc","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_3441505_uploaded_image1_1637127613.jpg"
"1771781976-305","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poule femelle Orpington","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_3441502_uploaded_image1_1637127447.jpg"
"1771781976-306","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapins","35 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_3437255_uploaded_image1_1636886889.jpg"
"1771781976-307","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3436083_uploaded_image1_1636807309.jpg"
"1771781976-308","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poussins brahma couple","22 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3426274_uploaded_image1_1636309987.jpg"
"1771781976-309","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon couple Cauchois","70 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3418999_uploaded_image1_1635954718.jpg"
"1771781976-310","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon femelle Mondain","70 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3418994_uploaded_image1_1635954539.jpg"
"1771781976-311","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeons Texan","60 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3414604_uploaded_image1_1635789687.jpg"
"1771781976-312","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon Cauchois","100 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3414597_uploaded_image1_1635789492.jpg"
"1771781976-313","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon Bouvreuil Archangel","40 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3414593_uploaded_image1_1635789344.jpg"
"1771781976-314","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon","35 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_3405195_uploaded_image1_1635268881.jpg"
"1771781976-315","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poussins","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_3404905_uploaded_image1_1635261146.jpg"
"1771781976-316","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poulets de chair","2 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3394674_uploaded_image1_1634723623.jpg"
"1771781976-317","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon Lahor","65 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_3382710_uploaded_image1_1634069766.jpg"
"1771781976-318","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_3382693_uploaded_image1_1634069396.jpg"
"1771781976-319","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeons Laince","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_3380877_uploaded_image1_1633980647.jpg"
"1771781976-320","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poules pondeuses","2 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3379737_uploaded_image1_1633947290.jpg"
"1771781976-321","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeons bouvreuils","22 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3378491_uploaded_image1_1633862943.jpg"
"1771781976-322","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poussins brahman herminé - cochin blanc","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3374652_uploaded_image1_1633650923.jpg"
"1771781976-323","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon voyageur","10 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_3373811_uploaded_image1_1633618398.jpg"
"1771781976-324","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon voyageur","10 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_3373808_uploaded_image1_1633618269.jpg"
"1771781976-325","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeons","50 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3371154_uploaded_image1_1633515720.jpg"
"1771781976-326","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poule Barahmane","100 000CFA","M'bour, Sénégal","https://images.coinafrique.com/thumb_3370800_uploaded_image2_1633504872.jpeg"
"1771781976-327","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Couple poulet Brahmâ","50 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3369356_uploaded_image1_1633438053.jpg"
"1771781976-328","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon Romain","85 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3362871_uploaded_image1_1633116442.jpg"
"1771781976-329","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poule Brahman Herminé","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3357881_uploaded_image3_1632920077.jpeg"
"1771781976-330","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poule Brahma hermnée","100 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3357145_uploaded_image1_1632869295.jpg"
"1771781976-331","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon Mondain","110 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3353083_uploaded_image1_1632604432.jpg"
"1771781976-332","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeons","50 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3353071_uploaded_image1_1632603938.jpg"
"1771781976-333","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeons","40 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3353065_uploaded_image1_1632603690.jpg"
"1771781976-334","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon bajoura","50 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3353059_uploaded_image1_1632603388.jpg"
"1771781976-335","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poules","35 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3349405_uploaded_image2_1632391949.jpeg"
"1771781976-336","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poules brahmanes","35 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3349401_uploaded_image1_1632391902.jpg"
"1771781976-337","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poules Brahmanes","35 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3349397_uploaded_image2_1632391557.jpeg"
"1771781976-338","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poules brahmanes","35 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3349394_uploaded_image1_1632391504.jpg"
"1771781976-339","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poule","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_3348160_uploaded_image1_1632324869.jpg"
"1771781976-340","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poulet de chair","2 300CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3337450_uploaded_image1_1631785546.jpg"
"1771781976-341","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon","Prix sur demande","Kaolack, Sénégal","https://images.coinafrique.com/thumb_3334209_uploaded_image1_1631622270.jpg"
"1771781976-342","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poulets pondeuses","2 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3333107_uploaded_image1_1631563838.jpg"
"1771781976-343","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poussins Cochin","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3325681_uploaded_image1_1631188256.jpg"
"1771781976-344","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapin nain","30 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3322610_uploaded_image1_1631059644.jpg"
"1771781976-345","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Trio poussin coucou","30 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3316809_uploaded_image1_1630785179.jpg"
"1771781976-346","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poussin Brahmâ","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3316806_uploaded_image1_1630785002.jpg"
"1771781976-347","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poussin Brahma","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3316797_uploaded_image1_1630784777.jpg"
"1771781976-348","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapereaux","17 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_3315445_uploaded_image1_1630722382.jpg"
"1771781976-349","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poule Brahman","22 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_3307095_uploaded_image1_1630430739.jpg"
"1771781976-350","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon mondain / bullan","25 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_3306481_uploaded_image1_1630411232.jpg"
"1771781976-351","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon Bullan","95 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_3306474_uploaded_image1_1630410943.jpg"
"1771781976-352","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon  Bullan","100 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_3306464_uploaded_image1_1630410757.jpg"
"1771781976-353","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeons Lahore","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3305350_uploaded_image1_1630343789.jpg"
"1771781976-354","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeons","50 000CFA","Kaolack, Sénégal","https://images.coinafrique.com/thumb_3302613_uploaded_image1_1630169095.jpg"
"1771781976-355","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poulet Bleu Hollande","4 500CFA","Diourbel, Sénégal","https://images.coinafrique.com/thumb_3290876_uploaded_image1_1629501810.jpg"
"1771781976-356","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapereaux","17 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_3286388_uploaded_image1_1629289139.jpg"
"1771781976-357","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poules","3 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3283632_uploaded_image1_1629152543.jpg"
"1771781976-358","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poule cochin blanc","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3281225_uploaded_image2_1629034850.jpeg"
"1771781976-359","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poulet cochin blanc","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3281223_uploaded_image1_1629034748.jpg"
"1771781976-360","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poule Bleu Hollande","10 000CFA","Kaolack, Sénégal","https://images.coinafrique.com/thumb_3278019_uploaded_image1_1628853028.jpg"
"1771781976-361","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Brahma herminé","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3259880_uploaded_image1_1628000666.jpg"
"1771781976-362","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poussins Brahman Herminé","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3248983_uploaded_image1_1627479441.jpg"
"1771781976-363","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Pigeon voyageur Meulman","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3248657_uploaded_image1_1627469932.jpg"
"1771781976-364","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poules","2 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3229235_uploaded_image1_1626304950.jpg"
"1771781976-365","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Poulets de chair","2 500CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_3214815_uploaded_image1_1625661793.jpg"
"1771781976-366","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Perruche","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3214014_uploaded_image1_1625618936.jpg"
"1771781976-367","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapin fauve de bourgogne","25 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3202447_uploaded_image2_1625166857.jpeg"
"1771781976-368","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapin","15 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3197088_uploaded_image1_1624966307.jpg"
"1771781976-369","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Coq Baramann","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3189768_uploaded_image1_1624544691.jpg"
"1771781976-370","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=6","Lapin","35 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3187687_uploaded_image1_1624451192.jpg"
